Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,12pF,C696888
"C10, C11, C12, C3, C5, C6",0402,6,100nF,C541464
"C13, C14, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43",1206,26,10uF 50v,C13585
"C4, C7, C8, C9",0402,4,1uF,C2887020
"D1, D11, D13, D15, D17, D19, D21, D23, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D5, D7, D9",D_SMA,24,3A+ 60V+,C3019735
"D10, D12, D14, D16, D18, D2, D20, D22, D24, D4, D40, D41, D6, D8",0603,14,FET-LED,C965799
D27,D_SOD-123F,1,MBR120VLSFT1G,C891416
"F1, F2, F3",Fuseholder_Blade_Mini_Keystone_3568,3,Mini ATO Fuse,
"J1, J2, J29",CONN-TH_HB9500M-9.5-2P,3,Screw_Terminal_01x02,C601239
"J10, J13, J16, J19, J22, J24, J25, J27, J28, J31, J34, J37, J40, J7",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,14,1mm-SolderJumper,
"J11, J12, J14, J15, J17, J18, J20, J21, J5, J6, J8, J9",JST_VH_B3P-VH_1x03_P3.96mm_Vertical,12,JST_VH-1x3,
"J23, J26, J4",TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,3,Screw_Terminal_01x02,C5188485
"J3, J50, J52, J54",JST-XH_1x02-V ~ Custom,4,1x2-JSTXH,C5160911
J41,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,2.54-Header-1x2,
"J42, J43, J44, J48",PinHeader_1x12_P2.54mm_Vertical,4,2.54-Header-1x12,
J45,PinHeader_1x02_P2.54mm_Vertical,1,2.54-Header-1x2,
"J46, J47",RJ45_Amphenol_RJHSE5380,2,RJHSE5380,C464586
"J49, J51, J53",PinHeader_2x03_P2.54mm_Vertical,3,Conn_02x03_Odd_Even,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",Diodes_PowerDI3333-8_ThermalVias,12,DMTH6016LFVWQ-7,
"Q13, Q14",POWERDFN_DFN5060,2,MCACL175N06Y-TP,
"R1, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R48",0402,14,10kΩ,C25744
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R47, R49, R50, R7, R8, R9",0402,28,1.5kΩ,C25867
R3,0402,1,100kΩ,C25741
R4,0402,1,120Ω,C25079
"R43, R45, R5",0402,3,4.7kΩ,C25900
"R44, R46, R6",0402,3,2.2kΩ,C25879
U1,Socketed MCU - Pico,1,Pico,
U2,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,1,MCP2518FD-xQBB,C621395
U3,DFN-8-1EP_3x3mm_P0.65mm_EP1.7x2.05mm,1,MCP2542FDxMF,C635109
"U4, U5",SOP-16_4.4x10.4mm_P1.27mm,2,74HCT365D,C547597
"U6, U7",SOT-353_SC-70-5,2,74AHCT1G125,C151417
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C5261245
