Designator,Mid X,Mid Y,Rotation,Layer
C1,157.7065,-206.587,0.0,top
C10,204.104,-216.790001,270.0,top
C11,195.234,-216.79,270.0,top
C12,212.974,-216.790001,270.0,top
C13,299.39545,-179.467,0.0,top
C14,299.39545,-197.512999,0.0,top
C2,157.7065,-202.267,0.0,top
C20,164.5388,-160.519,270.0,top
C21,183.778801,-160.519,270.0,top
C22,203.018801,-160.519,270.0,top
C23,222.258801,-160.519,270.0,top
C24,241.498801,-160.519,270.0,top
C25,260.738801,-160.519,270.0,top
C26,180.478799,-173.048,90.0,top
C27,199.718799,-173.048,90.0,top
C28,218.958799,-173.048,90.0,top
C29,238.198799,-173.048,90.0,top
C3,164.742,-201.053,90.0,top
C30,257.438799,-173.048,90.0,top
C31,276.678799,-173.048,90.0,top
C32,180.9788,-160.519,270.0,top
C33,200.2188,-160.519,270.0,top
C34,219.4588,-160.519,270.0,top
C35,238.6988,-160.519,270.0,top
C36,257.9388,-160.519,270.0,top
C37,277.1788,-160.519,270.0,top
C38,164.0388,-173.048,90.0,top
C39,183.2788,-173.048,90.0,top
C4,165.662,-201.053,90.0,top
C40,202.5188,-173.048,90.0,top
C41,221.7588,-173.048,90.0,top
C42,240.9988,-173.048,90.0,top
C43,260.2388,-173.048,90.0,top
C5,158.4315,-197.067,270.0,top
C6,155.1515,-197.067,90.0,top
C7,159.3515,-197.067,270.0,top
C8,156.0715,-197.067,90.0,top
C9,145.85,-215.376,90.0,top
D1,165.1388,-154.719,90.0,top
D10,242.0288,-145.629,180.0,top
D11,261.338801,-154.719,90.0,top
D12,261.2688,-145.629,180.0,top
D13,179.878799,-178.848,270.0,top
D14,179.9488,-187.938,0.0,top
D15,199.118799,-178.848,270.0,top
D16,199.1888,-187.938,0.0,top
D17,218.358799,-178.848,270.0,top
D18,218.4288,-187.938,0.0,top
D19,237.598799,-178.848,270.0,top
D2,165.0688,-145.629,180.0,top
D20,237.6688,-187.938,0.0,top
D21,256.838799,-178.848,270.0,top
D22,256.9088,-187.938,0.0,top
D23,276.078799,-178.848,270.0,top
D24,276.1488,-187.938,0.0,top
D27,157.18,-188.402,90.0,top
D28,180.3788,-154.719,90.0,top
D29,199.6188,-154.719,90.0,top
D3,184.378801,-154.719,90.0,top
D30,218.8588,-154.719,90.0,top
D31,238.0988,-154.719,90.0,top
D32,257.3388,-154.719,90.0,top
D33,276.5788,-154.719,90.0,top
D34,164.6388,-178.848,270.0,top
D35,183.8788,-178.848,270.0,top
D36,203.1188,-178.848,270.0,top
D37,222.3588,-178.848,270.0,top
D38,241.5988,-178.848,270.0,top
D39,260.8388,-178.848,270.0,top
D4,184.3088,-145.629,180.0,top
D40,289.43295,-179.4745,0.0,top
D41,289.43295,-197.520499,0.0,top
D5,203.618801,-154.719,90.0,top
D6,203.5488,-145.629,180.0,top
D7,222.858801,-154.719,90.0,top
D8,222.7888,-145.629,180.0,top
D9,242.098801,-154.719,90.0,top
F1,158.8175,-150.688,90.0,top
F2,158.8175,-168.8,90.0,top
F3,293.9,-149.699,270.0,top
J1,150.8975,-152.8355,270.0,top
J11,249.718801,-161.429,0.0,top
J12,268.958801,-161.429,0.0,top
J14,172.258799,-172.138,180.0,top
J15,191.498799,-172.138,180.0,top
J17,210.738799,-172.138,180.0,top
J18,229.978799,-172.138,180.0,top
J2,150.8995,-173.8605,270.0,top
J20,249.218799,-172.138,180.0,top
J21,268.458799,-172.138,180.0,top
J23,304.42895,-172.006999,90.0,top
J26,304.42895,-190.052998,90.0,top
J29,304.824,-151.1605,90.0,top
J3,231.3275,-202.213,180.0,top
J4,148.52,-190.042,270.0,top
J41,150.058,-199.735,270.0,top
J42,234.496,-206.133,270.0,top
J43,234.496,-208.673,270.0,top
J44,234.496,-211.213,270.0,top
J45,149.229,-205.735,270.0,top
J46,175.826,-216.6025,180.0,top
J47,156.266,-216.6025,180.0,top
J48,234.496,-213.753,270.0,top
J49,199.783,-212.952,270.0,top
J5,172.7588,-161.429,0.0,top
J50,199.676,-219.435,180.0,top
J51,190.913,-212.952,270.0,top
J52,190.806,-219.435,180.0,top
J53,208.653,-212.952,270.0,top
J54,208.546,-219.435,180.0,top
J6,191.998801,-161.429,0.0,top
J8,211.238801,-161.429,0.0,top
J9,230.478801,-161.429,0.0,top
Q1,172.7588,-139.329,270.0,top
Q10,229.9788,-194.238,90.0,top
Q11,249.2188,-194.238,90.0,top
Q12,268.4588,-194.238,90.0,top
Q13,283.30095,-171.327,0.0,top
Q14,283.30095,-189.373,0.0,top
Q2,191.9988,-139.329,270.0,top
Q3,211.2388,-139.329,270.0,top
Q4,230.4788,-139.329,270.0,top
Q5,249.7188,-139.329,270.0,top
Q6,268.9588,-139.329,270.0,top
Q7,172.2588,-194.238,90.0,top
Q8,191.4988,-194.238,90.0,top
Q9,210.7388,-194.238,90.0,top
R1,281.71295,-177.0761,90.0,top
R10,195.2803,-137.7474,0.0,top
R11,202.7988,-147.049,0.0,top
R12,214.5203,-137.7474,0.0,top
R13,222.0388,-147.049,0.0,top
R14,233.7603,-137.7474,0.0,top
R15,241.2788,-147.049,0.0,top
R16,253.0003,-137.7474,0.0,top
R17,260.5188,-147.049,0.0,top
R18,272.2403,-137.7474,0.0,top
R19,180.6988,-186.518,180.0,top
R2,292.08295,-179.4945,90.0,top
R20,168.9773,-195.8196,180.0,top
R21,199.9388,-186.518,180.0,top
R22,188.2173,-195.8196,180.0,top
R23,219.1788,-186.518,180.0,top
R24,207.4573,-195.8196,180.0,top
R25,238.4188,-186.518,180.0,top
R26,226.6973,-195.8196,180.0,top
R27,257.6588,-186.518,180.0,top
R28,245.9373,-195.8196,180.0,top
R29,276.8988,-186.518,180.0,top
R3,145.85,-213.536,90.0,top
R30,265.1773,-195.8196,180.0,top
R31,178.015605,-138.565598,315.0,top
R32,197.255605,-138.565598,315.0,top
R33,216.495605,-138.565598,315.0,top
R34,235.735605,-138.565598,315.0,top
